name,Nombre_liga,Equipo,Pais,Edad,Posicion,Altura,Peso,Partidos_completos,Medio_tiempo,Minutos,T_Goles,T_Asistencias,T_Amarillas,T_Rojas,PP_Tiros,%_PasesBuenos,JdP,PP_Aire,rating,PP_Entradas,PP_Intercepciones,PP_Faltas,PP_FueraJuegoGanados,PP_Despejes,PP_Regateado,outfielderBlockPerGame,T_GolesPropia,shotsPerGame_y,PP_PasesClave,PP_Regateo,PP_FaltaRecibida,PP_FueraJuegoPerdido,PP_BalonPerdido,PP_MalControl,PP_Pases,passSuccess_y,PP_PaseCentro,PP_PaseLargo,PP_PaseProfundidad
Lionel Messi,LaLiga,Barcelona,ar,32,Attacker,170,72,10,1,901,12,6,1,0,3.6,81.4,7,0.4,8.65,0.6,0.1,0.5,0.0,0.1,0.6,0.0,0,3.6,2.7,5.1,1.0,0.4,1.9,2.0,52.7,81.4,0.5,1.7,0.5
Luis Suárez,LaLiga,Barcelona,uy,32,Attacker,182,86,12,2,1014,9,3,3,0,3.0,73.6,0,0.4,7.49,0.2,0.0,0.8,0.0,0.5,0.4,0.1,0,3.0,0.9,1.0,0.7,0.6,0.7,0.9,23.3,73.6,0.1,1.2,0.0
Arthur,LaLiga,Barcelona,br,23,Defender,171,73,8,1,655,2,3,1,0,0.6,89.8,0,0.1,7.26,0.9,0.3,0.7,0.0,0.3,0.2,0.0,0,0.6,1.0,2.2,2.7,0.1,1.1,1.9,55.8,89.8,0.1,3.0,0.1
Antoine Griezmann,LaLiga,Barcelona,fr,28,Attacker,176,73,14,1,1217,6,4,2,0,2.0,80.0,1,0.9,7.22,1.1,0.5,0.6,0.0,0.8,0.8,0.1,0,2.0,0.8,0.6,0.5,0.6,0.5,1.5,36.1,80.0,0.1,1.2,0.1
Frenkie de Jong,LaLiga,Barcelona,nl,22,Defender,180,74,15,1,1262,1,2,1,0,0.1,92.9,2,0.5,7.12,1.4,0.9,0.9,0.0,0.4,0.6,0.4,0,0.1,1.1,1.9,1.1,0.1,0.9,1.0,59.2,92.9,0.1,2.4,0.1
Sergio Busquets,LaLiga,Barcelona,es,31,Defender,189,76,10,3,942,1,2,5,0,0.2,89.5,0,0.6,7.06,2.5,1.3,1.2,0.0,0.6,1.1,0.0,0,0.2,1.1,0.6,1.3,0.0,0.2,0.5,67.8,89.5,0.0,3.8,0.2
Samuel Umtiti,LaLiga,Barcelona,fr,26,Defender,182,75,3,1,277,0,0,1,0,0.0,88.6,0,2.0,7.0,0.8,1.3,1.8,0.3,5.3,0.5,0.0,0,0.0,0.0,1.0,1.0,0.3,0.0,0.3,41.5,88.6,0.0,1.5,0.0
Gerard Piqué,LaLiga,Barcelona,es,32,Defender,194,85,15,0,1343,1,0,8,0,0.5,90.1,1,3.4,6.96,0.9,0.9,1.0,0.6,4.3,0.2,0.9,0,0.5,0.3,0.2,0.5,0.0,0.2,0.4,71.2,90.1,0.0,4.7,0.0
Jordi Alba,LaLiga,Barcelona,es,30,Defender,170,68,7,0,602,1,0,1,0,0.3,89.1,0,0.1,6.93,1.3,1.3,0.7,0.0,1.0,0.3,0.1,0,0.3,1.3,0.9,0.4,0.3,0.1,0.6,77.1,89.1,0.4,2.6,0.0
Rafinha,LaLiga,Barcelona,br,26,Midfielder,174,71,2,1,187,0,0,0,0,2.0,90.0,0,0.0,6.93,1.0,0.3,1.0,0.0,0.0,0.3,0.0,0,2.0,1.7,1.3,4.0,0.0,1.7,2.0,50.0,90.0,1.0,2.3,0.0
Clément Lenglet,LaLiga,Barcelona,fr,24,Defender,186,81,13,0,1162,1,1,3,1,0.4,90.9,0,2.8,6.88,1.9,1.6,1.2,0.5,3.1,0.7,0.5,0,0.4,0.3,0.1,0.8,0.0,0.2,0.2,73.0,90.9,0.0,4.4,0.0
Moussa Wague,LaLiga,Barcelona,sn,21,Defender,177,70,1,0,90,0,0,0,0,0.0,88.1,0,1.0,6.88,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,59.0,88.1,0.0,3.0,0.0
Nélson Semedo,LaLiga,Barcelona,pt,26,Defender,177,67,10,3,866,0,2,1,0,0.2,89.6,0,0.4,6.82,1.9,0.7,0.9,0.2,0.8,0.2,0.1,0,0.2,0.2,1.3,1.4,0.0,0.8,1.3,44.4,89.6,0.2,1.8,0.0
Sergi Roberto,LaLiga,Barcelona,es,27,Defender,178,68,13,1,1097,0,2,6,0,0.3,90.1,0,1.2,6.76,1.1,1.0,0.8,0.0,1.3,0.4,0.1,0,0.3,0.6,0.5,1.4,0.0,0.8,0.9,60.1,90.1,0.3,0.6,0.1
Júnior Firpo,LaLiga,Barcelona,es,23,Defender,184,78,7,1,595,1,0,2,0,0.4,88.6,0,0.6,6.71,1.8,1.3,2.5,0.4,0.8,0.8,0.3,0,0.4,0.8,0.5,1.0,0.1,0.3,1.1,52.6,88.6,0.4,0.9,0.0
Ousmane Dembélé,LaLiga,Barcelona,fr,22,Attacker,178,67,3,2,358,1,0,1,1,1.0,78.0,0,0.2,6.7,0.4,0.0,0.2,0.0,0.0,0.6,0.0,0,1.0,1.6,2.8,1.0,0.8,1.0,2.2,47.2,78.0,1.0,2.6,0.2
Arturo Vidal,LaLiga,Barcelona,cl,32,Midfielder,180,75,3,9,399,4,0,2,0,0.6,86.0,0,0.7,6.7,2.3,0.3,1.0,0.0,0.4,0.8,0.2,0,0.6,0.2,0.2,0.5,0.1,0.2,0.6,25.6,86.0,0.1,1.2,0.0
Carles Pérez,LaLiga,Barcelona,es,21,Attacker,173,75,5,3,458,1,2,0,0,1.8,82.7,0,0.1,6.69,0.8,0.1,0.4,0.0,0.1,1.5,0.3,0,1.8,0.8,1.0,0.4,0.3,1.1,1.5,31.0,82.7,0.4,0.3,0.0
Ansu Fati,LaLiga,Barcelona,gw,17,Forward,178,66,3,6,327,2,1,1,0,1.4,79.4,0,0.3,6.68,0.3,0.3,0.7,0.0,0.0,0.4,0.0,0,1.4,0.6,1.2,0.4,0.1,0.6,1.9,18.9,79.4,0.3,0.2,0.0
Jean-Clair Todibo,LaLiga,Barcelona,fr,19,Defender,190,81,1,1,77,0,0,0,0,0.0,96.1,0,1.0,6.53,0.5,0.0,0.5,0.5,3.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,96.1,0.0,1.5,0.0
Marc-André ter Stegen,LaLiga,Barcelona,de,27,GoalKeeper,187,85,16,0,1440,0,2,0,0,0.0,86.7,0,0.6,6.51,0.1,0.1,0.0,0.0,0.9,0.0,0.0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,27.3,86.7,0.0,5.9,0.1
Ivan Rakitic,LaLiga,Barcelona,hr,31,Midfielder,184,78,4,7,473,0,2,1,0,0.9,87.8,0,0.6,6.4,0.3,0.4,0.7,0.0,0.6,0.7,0.3,0,0.9,0.3,0.3,1.3,0.0,0.7,0.5,38.1,87.8,0.2,1.5,0.1
Carles Aleñá,LaLiga,Barcelona,es,21,Midfielder,180,73,1,2,81,0,0,0,0,0.3,93.8,0,0.0,6.2,0.3,0.0,0.7,0.0,0.0,0.7,0.0,0,0.3,0.0,0.7,0.0,0.0,0.3,0.7,21.3,93.8,0.0,1.0,0.0
Ronald Araújo,LaLiga,Barcelona,uy,20,Defender,188,79,0,1,14,0,0,0,1,0.0,100.0,0,0.0,5.17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
Karim Benzema,LaLiga,Real Madrid,fr,31,Forward,185,81,14,0,1214,11,5,0,0,4.1,85.7,6,1.3,7.82,0.4,0.1,0.5,0.0,1.1,0.2,0.1,0,4.1,1.8,1.0,0.4,0.6,1.3,2.2,30.5,85.7,0.0,1.4,0.2
Eden Hazard,LaLiga,Real Madrid,be,28,Midfielder,175,74,7,1,609,1,1,0,0,1.1,84.2,1,0.8,7.6,0.5,0.3,1.1,0.0,0.0,1.0,0.0,0,1.1,1.4,4.4,3.8,0.3,2.1,2.3,37.3,84.2,0.3,1.6,0.0
Casemiro,LaLiga,Real Madrid,br,27,Defender,185,84,15,0,1320,1,1,5,0,1.1,84.5,0,3.3,7.55,3.7,2.3,2.3,0.1,1.6,1.9,0.2,0,1.1,0.3,0.6,1.9,0.1,0.5,0.6,58.7,84.5,0.2,6.0,0.1
Daniel Carvajal,LaLiga,Real Madrid,es,27,Defender,173,73,12,0,1080,1,4,2,0,0.5,87.1,2,1.3,7.37,2.3,1.4,1.3,0.2,0.8,0.6,0.3,0,0.5,1.6,0.7,0.7,0.2,0.3,1.8,64.7,87.1,0.6,3.1,0.1
Toni Kroos,LaLiga,Real Madrid,de,29,Midfielder,183,76,12,1,983,2,2,1,0,1.8,92.7,1,0.4,7.33,1.5,0.5,0.7,0.0,0.2,1.5,0.0,0,1.8,2.5,0.6,1.8,0.0,0.1,0.2,65.2,92.7,1.2,7.2,0.1
Raphael Varane,LaLiga,Real Madrid,fr,26,Defender,191,81,12,0,1080,1,1,1,0,0.3,88.5,0,3.0,7.15,1.3,0.9,0.3,0.5,4.5,0.3,0.5,0,0.3,0.2,0.3,0.3,0.0,0.1,0.5,51.6,88.5,0.0,4.1,0.0
Nacho,LaLiga,Real Madrid,es,29,Defender,180,76,2,0,180,0,0,2,0,1.5,86.0,0,2.5,7.09,1.5,1.5,2.0,0.0,2.5,1.5,0.0,0,1.5,1.0,0.5,2.5,0.0,1.0,1.5,43.0,86.0,0.5,1.5,0.0
Gareth Bale,LaLiga,Real Madrid,gb,30,Midfielder,185,81,7,1,608,2,2,0,1,2.3,82.1,0,2.0,7.01,0.5,0.1,1.1,0.0,0.4,0.6,0.1,0,2.3,1.0,1.3,0.6,0.4,1.0,0.9,30.8,82.1,0.8,1.6,0.0
Luka Modric,LaLiga,Real Madrid,hr,34,Midfielder,172,66,5,5,546,2,4,1,1,0.9,89.2,1,0.3,7.01,0.9,0.8,1.0,0.0,0.2,1.0,0.1,0,0.9,1.5,1.1,0.7,0.1,1.0,1.3,36.0,89.2,0.7,2.3,0.0
Federico Valverde,LaLiga,Real Madrid,uy,21,Midfielder,182,78,7,4,609,2,2,1,0,1.2,86.1,0,1.3,7.0,1.5,0.7,0.7,0.0,0.4,0.6,0.1,0,1.2,0.6,0.6,0.5,0.0,0.6,1.3,27.5,86.1,0.1,1.6,0.1
Marcelo,LaLiga,Real Madrid,br,31,Defender,174,75,6,0,540,0,1,1,0,1.0,86.6,0,0.3,6.95,1.0,0.7,0.7,0.2,1.2,1.7,0.2,0,1.0,2.0,1.2,1.0,0.0,0.3,1.2,67.3,86.6,0.7,4.3,0.0
Sergio Ramos,LaLiga,Real Madrid,es,33,Defender,184,82,15,0,1320,3,0,3,0,1.1,91.1,0,2.3,6.93,1.4,1.5,1.4,0.6,3.5,0.5,0.1,0,1.1,0.1,0.1,0.7,0.1,0.1,0.3,62.3,91.1,0.0,5.7,0.0
James Rodríguez,LaLiga,Real Madrid,co,28,Attacker,180,75,4,3,341,1,1,1,0,1.3,82.3,0,0.4,6.87,1.7,0.4,0.7,0.0,0.1,0.7,0.0,0,1.3,2.0,0.1,0.9,0.3,0.4,1.0,33.0,82.3,0.9,2.4,0.6
Rodrygo,LaLiga,Real Madrid,br,18,Attacker,174,64,4,3,373,2,0,0,0,1.1,89.8,0,0.3,6.84,0.1,1.0,0.6,0.0,0.3,0.9,0.0,0,1.1,0.7,1.0,0.9,0.1,0.6,1.7,23.9,89.8,0.3,0.7,0.0
Ferland Mendy,LaLiga,Real Madrid,fr,24,Defender,180,73,6,1,534,0,0,2,1,0.6,86.4,0,1.0,6.84,1.7,1.0,1.3,0.1,0.9,0.3,0.1,0,0.6,0.9,1.7,1.0,0.0,1.0,1.0,39.0,86.4,0.9,2.4,0.0
Thibaut Courtois,LaLiga,Real Madrid,be,27,GoalKeeper,199,96,12,0,1080,0,0,0,0,0.0,75.3,0,0.2,6.82,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,24.9,75.3,0.0,2.8,0.0
Vinícius Júnior,LaLiga,Real Madrid,br,19,Attacker,176,73,5,4,488,1,1,2,0,1.9,77.9,0,0.1,6.77,0.2,0.1,0.7,0.0,0.0,0.7,0.0,0,1.9,0.9,2.2,1.0,0.0,0.3,1.3,19.1,77.9,0.2,0.1,0.0
Eder Militão,LaLiga,Real Madrid,br,21,Defender,186,79,3,2,306,0,0,2,0,0.2,90.6,0,2.6,6.76,1.4,1.4,1.2,1.2,1.8,0.2,0.4,0,0.2,0.0,0.0,1.0,0.2,0.6,0.2,40.4,90.6,0.0,0.8,0.0
Lucas Vázquez,LaLiga,Real Madrid,es,28,Midfielder,173,70,4,3,358,1,0,1,0,1.1,80.1,0,0.0,6.75,1.0,0.7,1.9,0.0,0.3,0.9,0.0,0,1.1,1.1,1.1,0.7,0.1,1.1,2.9,25.1,80.1,0.7,1.4,0.1
Isco,LaLiga,Real Madrid,es,27,Attacker,176,79,3,5,302,0,0,0,0,1.1,87.9,0,0.5,6.57,0.5,0.0,0.4,0.0,0.1,0.3,0.0,0,1.1,1.0,1.3,1.1,0.1,0.8,1.0,28.9,87.9,0.3,0.8,0.0
Álvaro Odriozola,LaLiga,Real Madrid,es,24,Defender,176,66,4,0,344,0,1,1,1,0.5,91.1,0,0.0,6.49,1.3,0.5,1.8,0.3,1.5,0.8,0.0,0,0.5,1.3,1.5,1.0,0.0,0.5,1.8,30.8,91.1,0.3,1.3,0.0
Luka Jovic,LaLiga,Real Madrid,rs,21,Forward,182,85,3,6,291,1,0,0,0,1.2,82.1,0,1.1,6.37,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0,1.2,0.2,0.4,0.0,0.2,0.2,0.6,10.6,82.1,0.0,0.4,0.0
Alphonse Areola,LaLiga,Real Madrid,fr,26,GoalKeeper,195,94,3,0,270,0,0,1,0,0.0,79.2,0,0.0,6.28,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,25.7,79.2,0.0,5.0,0.0
Brahim Díaz,LaLiga,Real Madrid,es,20,Attacker,171,68,0,3,23,0,0,0,0,0.0,77.8,0,0.0,6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.3,0.0,0.0,0.7,3.0,77.8,0.0,0.3,0.0
Lucas Ocampos,LaLiga,Sevilla,ar,25,Midfielder,187,84,13,0,1121,5,1,5,1,2.3,76.5,3,1.0,7.21,2.3,0.5,1.6,0.0,0.8,1.5,0.0,0,2.3,0.9,2.4,1.5,0.2,2.5,3.2,27.2,76.5,0.7,0.6,0.0
Éver Banega,LaLiga,Sevilla,ar,31,Midfielder,174,71,15,0,1250,1,5,4,0,1.5,85.9,2,0.7,7.19,1.1,0.3,0.8,0.0,0.2,1.5,0.0,0,1.5,1.9,1.9,1.9,0.0,1.3,1.3,68.7,85.9,1.1,7.6,0.2
Sergio Reguilón,LaLiga,Sevilla,es,22,Defender,178,68,14,0,1189,1,1,4,0,0.8,79.6,1,1.4,7.06,1.6,1.3,1.8,0.3,1.4,1.0,0.1,0,0.8,1.6,1.6,1.3,0.2,1.1,1.6,48.7,79.6,1.1,3.1,0.0
Sergio Escudero,LaLiga,Sevilla,es,30,Defender,176,65,2,1,189,0,0,1,0,0.7,77.7,0,3.3,6.95,3.7,1.0,0.7,0.0,4.0,1.3,0.0,0,0.7,0.0,0.0,0.3,0.0,0.0,1.0,37.3,77.7,0.0,1.0,0.0
Joan Jordán,LaLiga,Sevilla,es,25,Midfielder,184,74,12,4,1060,2,1,4,0,0.9,87.2,2,1.1,6.95,1.6,0.4,2.1,0.0,0.4,1.9,0.1,0,0.9,1.2,1.2,0.9,0.0,0.8,0.8,48.5,87.2,1.0,5.6,0.0
Fernando,LaLiga,Sevilla,br,32,Defender,183,76,14,0,1260,0,1,7,0,0.3,87.6,0,2.9,6.94,1.9,1.9,1.3,0.2,2.5,0.9,0.4,0,0.3,0.3,0.4,0.9,0.1,0.3,0.8,51.7,87.6,0.0,3.6,0.1
Jesús Navas,LaLiga,Sevilla,es,34,Defender,172,60,16,0,1439,0,3,1,0,0.3,79.8,1,0.5,6.93,1.0,0.8,0.5,0.1,1.9,0.3,0.1,0,0.3,1.6,1.4,0.9,0.0,0.6,0.8,53.6,79.8,1.5,3.4,0.1
Luuk de Jong,LaLiga,Sevilla,nl,29,Attacker,188,86,11,2,952,2,0,2,0,2.5,67.5,0,5.5,6.88,0.7,0.2,1.2,0.1,1.2,0.3,0.0,0,2.5,0.6,0.2,0.9,0.6,0.5,2.0,18.5,67.5,0.1,0.2,0.0
Nolito,LaLiga,Sevilla,es,33,Attacker,175,65,10,1,733,2,0,0,0,2.1,77.1,0,0.7,6.79,1.6,0.1,1.7,0.0,0.1,0.8,0.0,0,2.1,0.7,0.8,0.7,0.8,0.5,1.6,23.0,77.1,0.0,0.9,0.0
Diego Carlos,LaLiga,Sevilla,br,26,Defender,185,79,16,0,1425,1,0,3,0,0.6,83.0,1,2.4,6.79,1.3,0.6,1.4,0.7,5.1,0.3,0.6,0,0.6,0.2,0.3,0.3,0.0,0.1,0.2,48.6,83.0,0.1,4.4,0.0
Tomás Vaclik,LaLiga,Sevilla,cz,30,GoalKeeper,188,85,16,0,1440,0,0,0,0,0.0,65.6,0,0.3,6.7,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,24.3,65.6,0.0,5.9,0.0
Jules Koundé,LaLiga,Sevilla,fr,21,Defender,178,70,9,2,824,0,0,2,0,0.5,85.1,0,2.9,6.68,0.7,0.8,0.6,0.5,2.6,0.3,0.2,0,0.5,0.1,0.5,0.3,0.0,0.2,0.6,41.5,85.1,0.0,3.0,0.0
Óliver Torres,LaLiga,Sevilla,es,25,Midfielder,178,70,10,4,786,1,1,3,0,0.6,81.9,0,0.3,6.66,1.9,0.4,1.2,0.0,0.3,1.4,0.0,0,0.6,0.8,0.9,0.5,0.0,1.1,1.1,30.8,81.9,0.3,3.1,0.1
Franco Vázquez,LaLiga,Sevilla,ar,30,Attacker,187,82,3,10,407,3,0,2,0,0.8,89.4,0,0.8,6.57,0.8,0.0,0.8,0.1,0.3,0.5,0.0,0,0.8,0.2,0.7,1.2,0.3,0.5,0.8,16.0,89.4,0.0,0.5,0.0
Munir El Haddadi,LaLiga,Sevilla,es,24,Attacker,175,69,3,3,316,1,0,1,0,1.8,77.8,0,0.8,6.54,0.5,0.3,0.8,0.0,0.3,0.5,0.0,0,1.8,0.3,0.3,1.3,0.7,0.7,1.8,16.5,77.8,0.2,0.0,0.0
Munas Dabbur,LaLiga,Sevilla,il,27,Forward,182,76,0,1,12,0,0,0,0,1.0,66.7,0,0.0,6.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,66.7,0.0,0.0,1.0
Daniel Carriço,LaLiga,Sevilla,pt,31,Defender,180,79,7,1,623,0,0,2,0,0.8,91.1,0,1.1,6.47,0.8,0.9,0.6,0.3,1.9,0.4,0.3,0,0.8,0.1,0.4,0.1,0.0,0.1,0.4,48.0,91.1,0.0,3.4,0.0
Chicharito,LaLiga,Sevilla,mx,31,Forward,175,73,4,4,415,1,0,0,0,1.5,70.8,1,1.4,6.4,0.8,0.6,0.8,0.0,0.1,0.5,0.0,0,1.5,0.4,0.0,1.5,1.3,0.3,1.8,9.0,70.8,0.0,0.1,0.1
Sergi Gómez,LaLiga,Sevilla,es,27,Defender,185,80,0,1,7,0,0,0,0,0.0,66.7,0,1.0,6.38,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.7,0.0,0.0,0.0
Bryan Gil,LaLiga,Sevilla,es,18,Forward,175,60,0,2,63,0,0,2,0,0.0,91.7,0,0.0,6.29,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,12.0,91.7,0.0,0.0,0.0
Nemanja Gudelj,LaLiga,Sevilla,rs,28,Midfielder,187,81,1,8,290,0,0,3,0,0.1,87.9,0,0.8,6.25,0.4,0.4,0.9,0.2,1.7,0.2,0.3,0,0.1,0.0,0.2,0.2,0.0,0.2,0.2,15.7,87.9,0.0,0.8,0.0
Rony Lopes,LaLiga,Sevilla,pt,23,Attacker,174,68,0,1,11,0,0,0,0,1.0,100.0,0,0.0,6.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,100.0,0.0,0.0,0.0
Alejandro Pozo,LaLiga,Sevilla,es,20,Defender,174,70,0,3,34,0,0,0,0,0.0,76.9,0,0.0,5.95,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,4.3,76.9,0.0,0.0,0.0
Jason,LaLiga,Getafe,es,25,Midfielder,178,65,11,0,877,1,4,5,0,1.5,61.3,1,1.3,7.12,1.6,1.3,1.5,0.0,0.5,1.2,0.3,0,1.5,1.6,1.5,1.8,0.1,1.3,2.8,20.9,61.3,1.3,0.5,0.0
Mathías Olivera,LaLiga,Getafe,uy,22,Defender,184,78,3,2,328,0,1,1,0,0.2,54.5,2,2.4,7.04,2.6,1.0,1.0,0.0,2.4,0.8,0.0,0,0.2,0.2,1.2,0.4,0.2,0.6,1.2,17.6,54.5,0.4,0.8,0.0
Marc Cucurella,LaLiga,Getafe,es,21,Defender,172,66,17,0,1512,1,3,4,0,0.8,66.4,1,1.5,6.95,2.4,0.6,2.2,0.1,0.7,1.1,0.3,0,0.8,1.1,0.8,1.5,0.1,0.7,1.8,30.8,66.4,0.4,1.4,0.0
Damián Suárez,LaLiga,Getafe,uy,31,Defender,172,61,13,0,1122,0,3,6,0,0.5,66.7,0,1.5,6.84,2.0,0.8,1.7,0.5,1.4,0.8,0.2,0,0.5,1.2,0.7,2.2,0.0,0.2,1.2,32.8,66.7,0.9,2.3,0.1
Mauro Arambarri,LaLiga,Getafe,uy,24,Defender,175,74,15,0,1350,1,1,5,0,1.2,70.4,0,2.2,6.84,2.0,1.3,2.1,0.1,1.0,1.0,0.2,0,1.2,0.1,1.1,2.0,0.0,0.9,1.3,26.3,70.4,0.1,2.9,0.0
